date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:42	235116/235116	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2013:40:43%20GMT	https://atlanspace.com/	F:/RnD/backup/websites/atlanspace.com/index-2.html	(from )
18:03:42	125/125	---M-Z	200	added ('OK')	text/plain	date:Sun,%2021%20Apr%202024%2016:03:42%20GMT	https://atlanspace.com/robots.txt		(from )
18:03:42	610568/610568	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Apr%202024%2003:22:35%20GMT	https://atlanspace.com/wp-content/cache/min/1/4aca9ff805bd3473665d6fd43b1667e0.css	F:/RnD/backup/websites/atlanspace.com/wp-content/cache/min/1/4aca9ff805bd3473665d6fd43b1667e0.css	(from https://atlanspace.com/)
18:03:43	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2021%20Apr%202024%2016:03:44%20GMT	https://atlanspace.com/xmlrpc.php	F:/RnD/backup/websites/atlanspace.com/xmlrpc.php	(from https://atlanspace.com/)
18:03:43	1441/1441	---M-Z	200	added ('OK')	image/png	date:Sat,%2008%20Apr%202023%2007:14:51%20GMT	https://atlanspace.com/wp-content/uploads/2023/04/supported-by.png	F:/RnD/backup/websites/atlanspace.com/wp-content/uploads/2023/04/supported-by.png	(from https://atlanspace.com/)
18:03:43	7043/7043	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Mar%202024%2009:46:49%20GMT	https://atlanspace.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.7.0	F:/RnD/backup/websites/atlanspace.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen117a.css	(from https://atlanspace.com/)
18:03:43	19350/19350	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Apr%202024%2019:22:23%20GMT	https://atlanspace.com/wp-content/plugins/cookie-law-info/lite/frontend/js/script.min.js?ver=3.2.2	F:/RnD/backup/websites/atlanspace.com/wp-content/plugins/cookie-law-info/lite/frontend/js/script.minee9a.js	(from https://atlanspace.com/)
18:03:44	5063/5063	---M-Z	200	added ('OK')	application/rss+xml	etag:%22121e3e16c68181bf1c5479be273f5259-gzip%22	https://atlanspace.com/feed/	F:/RnD/backup/websites/atlanspace.com/feed/index.html	(from https://atlanspace.com/)
18:03:44	713/713	---M-Z	200	added ('OK')	application/rss+xml	etag:%22121e3e16c68181bf1c5479be273f5259-gzip%22	https://atlanspace.com/comments/feed/	F:/RnD/backup/websites/atlanspace.com/comments/feed/index.html	(from https://atlanspace.com/)
18:03:44	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202023%2016:45:02%20GMT	https://atlanspace.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	F:/RnD/backup/websites/atlanspace.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://atlanspace.com/)
18:03:44	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2007:21:49%20GMT	https://atlanspace.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	F:/RnD/backup/websites/atlanspace.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://atlanspace.com/)
18:03:45	9636/9636	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Mar%202024%2009:46:49%20GMT	https://atlanspace.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.8.7.0	F:/RnD/backup/websites/atlanspace.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min71e5.js	(from https://atlanspace.com/)
18:03:46	3058/3058	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Mar%202024%2009:46:49%20GMT	https://atlanspace.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=8.7.0	F:/RnD/backup/websites/atlanspace.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min117a.js	(from https://atlanspace.com/)
18:03:47	1720/1720	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Mar%202024%2009:46:49%20GMT	https://atlanspace.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.8.7.0	F:/RnD/backup/websites/atlanspace.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min52f2.js	(from https://atlanspace.com/)
18:03:47	2139/2139	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Mar%202024%2009:46:49%20GMT	https://atlanspace.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=8.7.0	F:/RnD/backup/websites/atlanspace.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min117a.js	(from https://atlanspace.com/)
18:03:48	1624/1624	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Apr%202023%2018:20:36%20GMT	https://atlanspace.com/wp-content/themes/hello-theme-child-master/js/custom.js?ver=6.5.2	F:/RnD/backup/websites/atlanspace.com/wp-content/themes/hello-theme-child-master/js/custome63c.js	(from https://atlanspace.com/)
18:03:49	114997/114997	---M-Z	200	added ('OK')	application/json	date:Sun,%2021%20Apr%202024%2016:03:49%20GMT	https://atlanspace.com/wp-json/wp/v2/pages/60	F:/RnD/backup/websites/atlanspace.com/wp-json/wp/v2/pages/60.json	(from https://atlanspace.com/)
18:03:49	1230229/1230229	---MCZ	200	added ('OK')	application/json	date:Sun,%2021%20Apr%202024%2016:03:49%20GMT	https://atlanspace.com/wp-json/	F:/RnD/backup/websites/atlanspace.com/wp-json/index.html	(from https://atlanspace.com/)
